title,Genre,Premiere,Runtime,IMDB Score,Language,id,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
Birders,Documentary,"September 25, 2019",37,6.4,English/Spanish,tm834121,MOVIE,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.,2019.0,,37.0,['documentation'],"['MX', 'US']",,,,,2.791,6.8
Como Cado del Cielo,Musical comedy,"December 24, 2019",112,6.4,Spanish,,,,,,,,,,,,,,
First Match,Sports-drama,"March 30, 2018",102,6.4,English,tm372305,MOVIE,"Hardened by years in foster care, a teenage girl from Brooklyn’s Brownsville neighborhood decides that wrestling boys is the only way back to her estranged father.",2018.0,,94.0,"['drama', 'sport']",['US'],,tt6061074,6.4,2272.0,11.39,6.6
Fractured,Thriller,"October 11, 2019",100,6.4,English,tm447963,MOVIE,"Driving cross-country, Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the check-in nurse, Ray is finally able to get her to a doctor. While the wife and daughter go downstairs for an MRI, Ray, exhausted, passes out in a chair in the lobby. Upon waking up, they have no record or knowledge of Ray's family ever being checked in.",2019.0,R,99.0,['thriller'],['US'],,tt4332232,6.4,72478.0,35.497,6.7
Irreplaceable You,Drama,"February 16, 2018",96,6.4,English,tm369179,MOVIE,A couple who have known each other since 8 are destined to be together until death do them apart.,2018.0,,96.0,"['drama', 'romance', 'comedy']",['US'],,tt6119856,6.4,9583.0,11.732,7.0
Isi & Ossi,Romantic comedy,"February 14, 2020",113,6.4,German,tm849407,MOVIE,"Isi and Ossi couldn't be any more different: She's a billionaire's daughter from Heidelberg, he's a struggling boxer from the nearby town of Mannheim. But when Isi meets Ossi, the two quickly realize that they can take advantage of one another: She dates the broke boxer to provoke her parents and get them to fund a long-desired chef training in New York. He tries to rip off the rich daughter to finance his first professional boxing match. Their plans soon develop into emotional chaos that challenges everything the two believe to know about money, career and love.",2020.0,,113.0,"['romance', 'comedy']",['DE'],,tt9806322,6.4,8309.0,11.061,6.9
John Was Trying to Contact Aliens,Documentary,"August 20, 2020",16,6.4,English,tm846941,MOVIE,"John Shepherd spent 30 years trying to contact extraterrestrials by broadcasting music millions of miles into space. After giving up the search, he makes a different connection here on earth.",2020.0,,16.0,['documentation'],['US'],,,,,3.332,6.5
Layla Majnun,Romantic drama,"February 11, 2021",119,6.4,Indonesian,tm846586,MOVIE,"While in Azerbaijan, Layla, an Indonesian scholar, falls for Samir, an admirer of her work — but her arranged marriage stands in the way.",2021.0,,119.0,"['romance', 'drama']",['ID'],,tt11313944,6.0,277.0,2.727,7.5
Murder to Mercy: The Cyntoia Brown Story,Documentary,"April 29, 2020",97,6.4,English,,,,,,,,,,,,,,
My Own Man,Documentary,"December 13, 2014",81,6.4,English,tm202914,MOVIE,"Rattled by the prospect of becoming a dad, a 40-year-old filmmaker begins to consider what ""manhood"" really means for him, prompting him to pursue an array of interests and reexamine his views -- which were shaped by his father.",2014.0,,82.0,"['documentation', 'drama', 'comedy', 'family']",['US'],,tt3356434,6.4,447.0,1.895,6.8
Nappily Ever After,Comedy-drama,"September 21, 2018",98,6.4,English,tm429382,MOVIE,"After an accident at the hair salon, Violet realizes she's not living life to the fullest. A soulful barber helps her put the pieces back together.",2018.0,NC-17,98.0,"['comedy', 'romance', 'drama']",['US'],,tt0365545,6.4,9224.0,11.48,7.2
Over the Moon,Animation/Musical/Adventure,"October 23, 2020",95,6.4,English,tm824477,MOVIE,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.",2020.0,PG,95.0,"['comedy', 'family', 'fantasy', 'scifi', 'romance', 'animation']","['CN', 'US']",,tt7488208,6.3,22034.0,75.251,7.3
Street Flow,Drama,"October 12, 2019",96,6.4,French,tm820116,MOVIE,"Noumouké, from the suburb of Paris, is about to decide which brother's foot steps to follow - the lawyer student Soulaymaan or the gangster Demba.",2019.0,,96.0,"['drama', 'crime']",['FR'],,tt10958282,6.4,1527.0,13.211,7.1
Strong Island,Documentary,September 15. 2017,107,6.4,English,tm307612,MOVIE,"Examining the violent death of the filmmaker’s brother and the judicial system that allowed his killer to go free, this documentary interrogates murderous fear and racialized perception, and re-imagines the wreckage in catastrophe’s wake, challenging us to change.",2017.0,,107.0,"['documentation', 'crime']",['US'],,tt5873150,6.4,3892.0,4.287,6.3
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,"September 27, 2019",41,6.4,English,,,,,,,,,,,,,,
Take Your Pills,Documentary,"March 16, 2018",87,6.4,English,tm374216,MOVIE,"In a hypercompetitive world, drugs like Adderall offer students, athletes, coders and others a way to do more -- faster and better. But at what cost?",2018.0,,87.0,['documentation'],['US'],,tt7983844,6.3,5151.0,11.496,6.6
The Heartbreak Club,Comedy-drama,"January 14, 2021",101,6.4,Indonesian,tm878575,MOVIE,"Coping with heartbreak, the shy owner of floundering cafe find solace in the Javanese love songs of Didi Kempot.",2021.0,,101.0,"['comedy', 'drama', 'romance']",['ID'],,tt11841144,6.3,196.0,1.401,8.0
The Mars Generation,Documentary,"May 5, 2017",97,6.4,English,tm320785,MOVIE,Aspiring teenage astronauts reveal that a journey to Mars is closer than you think.,2017.0,,97.0,['documentation'],['US'],,tt6333096,6.5,999.0,3.6,6.6
The Occupant,Thriller,"March 25, 2020",103,6.4,Spanish,tm857430,MOVIE,"An unemployed executive is forced to sell his apartment. When he discovers that he still has the keys, he becomes obsessed with the family that now lives there and decides to recover the life he has lost, at any price.",2020.0,R,103.0,"['thriller', 'european', 'horror', 'drama']",['ES'],,tt9345754,6.4,17289.0,8.774,6.3
The Willoughbys,Animation/Comedy/Adventure,"April 22, 2020",90,6.4,English,tm849005,MOVIE,"When the four Willoughby children are abandoned by their selfish parents, they must learn how to adapt their Old-Fashioned values to the contemporary world in order to create something new: The Modern Family.",2020.0,PG,92.0,"['comedy', 'fantasy', 'animation', 'drama', 'family']",['CA'],,tt5206260,6.3,18662.0,22.543,7.1
Triple Frontier,Action-thriller,"March 13, 2019",125,6.4,English,tm244207,MOVIE,"Struggling to make ends meet, former special ops soldiers reunite for a high-stakes heist: stealing $75 million from a South American drug lord.",2019.0,R,125.0,"['thriller', 'action', 'crime', 'drama']",['US'],,tt1488606,6.4,125883.0,28.54,6.3
Two Catalonias,Documentary,"September 28, 2018",116,6.4,Spanish/Catalan,tm434179,MOVIE,Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.,2018.0,,116.0,"['documentation', 'history', 'european']",['ES'],,tt8893608,6.4,677.0,5.288,6.6
Walk. Ride. Rodeo.,Drama,"March 8, 2019",99,6.4,English,tm458326,MOVIE,"Tells the incredible true story of Amberley Snyder, a nationally ranked rodeo barrel racer who defies the odds after barely surviving a car accident that leaves her paralyzed from the waist down.",2019.0,,100.0,['drama'],['US'],,tt5848416,6.4,2407.0,14.069,7.071
Wheelman,Action thriller,"October 20, 2017",82,6.4,English,tm346467,MOVIE,A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,2017.0,R,82.0,"['action', 'crime', 'thriller']",['US'],,tt5723286,6.4,20351.0,15.282,6.1
When We First Met,Romantic comedy,"February 9, 2018",97,6.4,English,tm366567,MOVIE,"Noah spends the perfect first night with the girl of his dreams Avery but gets relegated to the friend zone. He spends the next three years wondering what went wrong - until he gets the unexpected chance to travel back in time and alter that night, and his fate, over and over again.",2018.0,PG-13,97.0,"['fantasy', 'comedy', 'romance']",['US'],,tt5783956,6.4,48885.0,15.879,6.6
A 3 Minute Hug,Documentary,"October 28, 2019",28,6.5,English/Spanish,tm835357,MOVIE,"As daylight breaks between the border cities of El Paso, Texas, and Juarez, Mexico, undocumented migrants and their relatives, divided by a wall, prepare to participate in an activist event. For three minutes, they’ll embrace in no man’s land for the briefest and sweetest of reunions.",2018.0,,28.0,['documentation'],['MX'],,,,,3.15,6.4
All the Bright Places,Romance,"February 28, 2020",108,6.5,English,tm443179,MOVIE,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,2020.0,,108.0,"['romance', 'drama']",['US'],,tt3907584,6.5,28355.0,81.765,7.7
All Together Now,Drama,"August 28, 2020",93,6.5,English,tm918853,MOVIE,"An optimistic, talented teen clings to a huge secret: she's homeless and living on a school bus. When tragedy strikes, can she learn to accept a helping hand?",2020.0,PG,92.0,['drama'],['US'],,tt3155342,6.5,4388.0,7.402,6.8
Altered Carbon: Resleeved,Anime/Science fiction,"March 19, 2020",74,6.5,Japanese,tm850723,MOVIE,"On the planet Latimer, Takeshi Kovacs must protect a tattooist while investigating the death of a yakuza boss alongside a no-nonsense CTAC.",2020.0,,75.0,"['scifi', 'animation', 'crime', 'drama', 'thriller', 'action']",['JP'],,tt9310328,6.5,6127.0,81.179,6.5
Antoine Griezmann: The Making of a Legend,Documentary,"March 21, 2019",60,6.5,French,tm464212,MOVIE,"With heart and determination, Antoine Griezmann overcame his small stature to become one of the world's top soccer players and a World Cup champion.",2019.0,,60.0,"['documentation', 'sport']",['FR'],,tt9817308,6.5,1157.0,5.362,7.1
Canvas ,Animation / Short,"December 11, 2020",9,6.5,English,,,,,,,,,,,,,,
Chadwick Boseman: Portrait of an Artist,Documentary,"April 17, 2021",21,6.5,English,,,,,,,,,,,,,,
Chopsticks,Comedy,"May 31, 2019",100,6.5,Hindi,tm473813,MOVIE,A gifted but insecure woman is in for a transformative experience when she enlists the help of an enigmatic con artist to recover her stolen car,2019.0,,100.0,"['comedy', 'drama']",['IN'],,tt10243678,6.5,4729.0,4.727,5.9
Da 5 Bloods,War drama,"June 12, 2020",155,6.5,English,tm843444,MOVIE,Four African-American Vietnam veterans return to Vietnam. They are in search of the remains of their fallen squad leader and the promise of buried treasure. These heroes battle forces of humanity and nature while confronted by the lasting ravages of the immorality of the Vietnam War.,2020.0,R,156.0,"['war', 'drama']",['US'],,tt9777644,6.5,50520.0,16.232,6.6
Dolly Parton: A MusiCares Tribute,Documentary,"April 7, 2021",55,6.5,English,tm1029279,MOVIE,"In a star-studded evening of music and memories, a community of iconic performers honor Dolly Parton as the MusiCares Person of the Year.",2021.0,,55.0,"['music', 'documentation']",['US'],,tt14299926,6.6,234.0,5.064,7.0
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,"June 26, 2020",123,6.5,English,tm849004,MOVIE,"Two small-town aspiring musicians chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond.",2020.0,PG-13,123.0,"['music', 'comedy']",['US'],,tt8580274,6.5,92086.0,10.817,6.4
Gerald's Game,Horror thriller,"September 29, 2017",103,6.5,English,tm266666,MOVIE,"When her husband's sex game goes wrong, Jessie (who is handcuffed to a bed in a remote lake house) faces warped visions, dark secrets and a dire choice.",2017.0,,104.0,"['horror', 'thriller', 'drama']",['US'],,tt3748172,6.5,106451.0,21.014,6.4
His House,Thriller,"October 30, 2020",93,6.5,English,tm845489,MOVIE,"After making a harrowing escape from war-torn South Sudan, a young refugee couple struggle to adjust to their new life in a small English town that has an unspeakable evil lurking beneath the surface.",2020.0,,93.0,"['thriller', 'drama', 'horror']",['GB'],,tt8508734,6.5,39988.0,27.065,6.5
Jingle Jangle: A Christmas Journey,Family/Christmas musical,"November 13, 2020",119,6.5,English,tm848995,MOVIE,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.",2020.0,PG,122.0,"['fantasy', 'music', 'family']",['US'],,tt7736496,6.4,18374.0,28.329,6.65
Life Overtakes Me,Documentary,"June 14, 2019",40,6.5,English/Swedish,tm467116,MOVIE,"Hundreds of refugee children in Sweden, who have fled with their families from extreme trauma, have become afflicted with 'uppgivenhetssyndrom,' or Resignation Syndrome. Facing deportation, they withdraw from the world into a coma-like state, as if frozen, for months, or even years.",2019.0,,39.0,['documentation'],"['SE', 'US']",,tt9204606,5.0,45.0,8.087,6.4
Lust Stories,Drama,"June 15, 2018",120,6.5,Hindi,tm419496,MOVIE,An anthology of four stories that sheds light on modern relationships from the viewpoint of the Indian woman.,2018.0,R,120.0,"['drama', 'romance']",['IN'],,tt8439854,6.4,10830.0,6.98,6.2
Monster,Drama,"May 7, 2021",98,6.5,English,tm136308,MOVIE,"An emotionally scarred highway drifter shoots a sadistic trick who rapes her, and ultimately becomes the United States' first female serial killer.",2003.0,R,110.0,"['crime', 'drama', 'thriller', 'european']",['US'],,tt0340855,7.3,150339.0,16.309,7.2
Monster,Drama,"May 7, 2021",98,6.5,English,tm362072,MOVIE,"The story of Steve Harmon, a 17-year-old honor student whose world comes crashing down around him when he is charged with felony murder.",2021.0,R,98.0,"['drama', 'crime']","['CA', 'US']",,tt2850272,6.5,5770.0,14.441,6.5
Mowgli: Legend of the Jungle,Adventure,"December 7, 2018",104,6.5,English,tm244148,MOVIE,"A human child raised by wolves, must face off against a menacing tiger named Shere Khan, as well as his own origins.",2018.0,PG-13,105.0,"['action', 'drama', 'fantasy']","['GB', 'US']",,tt2388771,6.5,61622.0,24.646,6.5
Nobody Knows I'm Here,Drama,"June 24, 2020",91,6.5,Spanish,tm889018,MOVIE,"Memo lives on a remote Chilean sheep farm, hiding a beautiful singing voice from the outside world. A recluse with a glittery flair, he can't stop dwelling on the past, but what will happen once someone finally listens?",2020.0,,91.0,"['drama', 'music']",['CL'],,tt10728764,6.5,4148.0,12.69,6.9
Nobody Speak: Trials of the Free Press,Documentary,"June 23, 2017",95,6.5,English,tm314295,MOVIE,The courtroom and publicity battles between the superstar wrestler and the notorious website explode in a sensational trial all about the limits of the First Amendment and the new no holds barred nature of celebrity life in an internet dominated society.,2017.0,,95.0,"['documentation', 'european']","['US', 'NL']",,tt6333064,6.4,4133.0,5.286,6.1
Oxygen,Science fiction thriller,"May 12, 2021",101,6.5,French,tm347095,MOVIE,"A woman wakes in a cryogenic chamber with no recollection of how she got there, and must find a way out before running out of air.",2021.0,,100.0,"['scifi', 'thriller', 'horror', 'drama', 'fantasy']","['FR', 'US']",,tt6341832,6.5,37871.0,44.5,6.635
Set It Up,Romantic comedy,"June 15, 2018",105,6.5,English,tm412550,MOVIE,Two overworked and underpaid assistants come up with a plan to get their bosses off their backs by setting them up with each other.,2018.0,R,105.0,"['romance', 'comedy']",['US'],,tt5304992,6.5,51861.0,18.364,6.9
The Incredible Jessica James,Comedy,"July 28, 2017",83,6.5,English,tm298846,MOVIE,"Burned by a bad breakup, a struggling New York City playwright makes an unlikely connection with a divorced app designer she meets on a blind date.",2017.0,,83.0,"['romance', 'comedy']",['US'],,tt5990342,6.5,7667.0,9.638,6.2
Tigertail,Drama,"April 10, 2020",91,6.5,English/Taiwanese/Mandarin,tm848996,MOVIE,A man reflects on the lost love of his youth and his long-ago journey from Taiwan to America as he begins to reconnect with his estranged daughter.,2020.0,PG,91.0,['drama'],['US'],,tt8902948,6.6,3589.0,6.618,6.9
Tramps,Romance,"April 21, 2017",83,6.5,English,tm244134,MOVIE,A young man and woman find love in an unlikely place while carrying out a shady deal.,2016.0,,82.0,"['comedy', 'romance', 'documentation', 'european']",['US'],,tt4991512,6.5,5605.0,8.491,6.1
What Did Jack Do?,Drama / Short,"January 20, 2020",17,6.5,English,,,,,,,,,,,,,,
Bad Trip,Hidden-camera prank comedy,"March 26, 2021",86,6.6,English,tm456436,MOVIE,Two pals embark on a road trip full of funny pranks that pull real people into mayhem.,2020.0,,87.0,"['comedy', 'reality']","['CA', 'US']",,tt9684220,6.5,24537.0,73.507,6.1
Bird Box,Psychological thriller,"December 21, 2018",124,6.6,English,tm374132,MOVIE,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",2018.0,R,124.0,"['thriller', 'drama', 'scifi', 'horror']",['US'],,tt2737304,6.6,331070.0,47.18,6.9
Bulbbul,Horror,"June 24, 2020",94,6.6,Hindi,tm898773,MOVIE,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",2020.0,,94.0,"['fantasy', 'horror', 'drama']",['IN'],,tt12393526,6.5,11844.0,23.407,6.7
Crazy About Her,Romantic comedy,"February 26, 2021",102,6.6,Spanish,tm985550,MOVIE,"After a magical night together, Adri voluntarily turns himself into the psychiatric institution where Carla lives.",2021.0,,102.0,"['romance', 'comedy']",['ES'],,tt11698630,6.6,5435.0,27.193,7.2
Elisa & Marcela,Romance,"June 7, 2019",118,6.6,Spanish,tm453903,MOVIE,"In 1901, Marcela Gracia Ibeas took on the identity of Mario Sánchez to marry her lover of fifteen years, Elisa Sanchez Loriga.",2019.0,,118.0,"['drama', 'romance', 'european']",['ES'],,tt6704898,6.6,4780.0,10.823,7.4
I'll Sleep When I'm Dead,Documentary,"August 19, 2016",79,6.6,English,tm239769,MOVIE,An energetic and fast-paced bio-doc that examines the story behind one of the most prolific and well-known DJs working today: Steve Aoki.,2016.0,,82.0,['documentation'],['US'],,tt4679136,6.6,1364.0,3.096,6.5
I'm Thinking of Ending Things,Psychological thriller,"September 4, 2020",134,6.6,English,tm369594,MOVIE,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,2020.0,R,134.0,"['drama', 'thriller', 'fantasy']",['US'],,tt7939766,6.6,83093.0,17.61,6.6
It Takes a Lunatic,Documentary,"October 25, 2019",126,6.6,English,tm837843,MOVIE,"The extraordinary life of beloved acting teacher and theatre producer Wynn Handman is recalled in this portrait of a provocative, innovative artist.",2019.0,,120.0,"['documentation', 'drama']","['US', 'GB', 'DE']",,tt11052346,6.6,174.0,4.07,5.6
Milestone,Drama,"May 7, 2021",98,6.6,Hindi,tm919920,MOVIE,"As soon as veteran driver Ghalib’s truck touches the 500,000 kilometers mark - a record at his company - he is struck by a sudden pain in his back. As Ghalib struggles with this ache, an existential threat begins to overwhelm him when he is asked to train a young new driver.",2020.0,,98.0,['drama'],['IN'],,tt12779208,6.6,634.0,1.579,6.1
Recovery Boys,Documentary,"June 29, 2018",89,6.6,English,tm413082,MOVIE,"In the heart of America's opioid epidemic, four men try to reinvent their lives and mend their broken relationships after years of drug abuse.",2018.0,,90.0,['documentation'],['US'],,tt8167872,6.7,720.0,5.645,6.6
ReMastered: Who Killed Jam Master Jay?,Documentary,"December 7, 2018",58,6.6,English,tm447328,MOVIE,Run-D.M.C. DJ Jam Master Jay made a huge impact in music and his community. But friends and family still seek closure years after his unsolved murder.,2018.0,,58.0,"['music', 'documentation']",['US'],,tt9046560,6.5,786.0,1.705,6.5
Shawn Mendes: In Wonder,Documentary,"November 23, 2020",83,6.6,English,tm944331,MOVIE,"A portrait of singer-songwriter Shawn Mendes' life, chronicling the past few years of his rise and journey.",2020.0,,83.0,"['documentation', 'music']",['US'],,tt13276386,6.4,2049.0,10.122,8.2
Space Sweepers,Science fiction,"February 5, 2021",136,6.6,Korean,tm458292,MOVIE,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.",2021.0,R,136.0,"['scifi', 'drama', 'fantasy', 'action']",['KR'],,tt12838766,6.5,25178.0,65.593,7.147
The American Meme,Documentary,"December 7, 2018",98,6.6,English,tm411358,MOVIE,"Paris Hilton, the Fat Jew, and Brittany Furlan have all used social media to achieve massive internet fame. But, American Meme explores, is it worth it?",2018.0,,90.0,['documentation'],['US'],,tt8106160,6.7,16650.0,4.687,5.9
The Angel,Spy thriller,"September 14, 2018",114,6.6,English,tm344886,MOVIE,"True story of Ashraf Marwan, who was President Nasser's son-in-law and special adviser and confidant to his successor Anwar Sadat - while simultaneously Israeli Intelligence's most precious asset of the 20th century. Based on NYT bestselling book 'The Angel: The Egyptian Spy Who Saved Israel' by Uri Bar-Joseph.",2018.0,,114.0,"['thriller', 'drama', 'action']","['IL', 'MA', 'US', 'BG', 'GB']",,tt5968274,6.6,14115.0,9.032,6.7
The Crimes That Bind,Crime drama,"August 20, 2020",99,6.6,Spanish,tm831873,MOVIE,"Desperate and confused, Alicia will do the impossible to keep her son from prison after he's convicted of trying to murder his ex-wife.",2020.0,,99.0,"['crime', 'drama', 'thriller']",['AR'],,tt10915060,6.7,3973.0,10.408,6.4
The Red Sea Diving Resort,Spy thriller,"July 31, 2019",130,6.6,English,tm414341,MOVIE,"Sudan, East Africa, 1980. A team of Israeli Mossad agents plans to rescue and transfer thousands of Ethiopian Jews to Israel. To do so, and to avoid raising suspicions from the inquisitive and ruthless authorities, they establish as a cover a fake diving resort by the Red Sea.",2019.0,R,129.0,"['history', 'drama', 'thriller']","['CA', 'US']",,tt4995776,6.6,28051.0,14.205,6.9
What Would Sophia Loren Do?,Documentary,"January 15, 2021",32,6.6,English,tm990740,MOVIE,"Nancy Vincenza Kulik, an Italian-American grandmother from Fort Lee, New Jersey, has experienced many challenges and triumphs. But she always meets life's journey with love, resilience and joy, inspired in part by another Italian grandmother, movie star Sophia Loren.",2021.0,,33.0,['documentation'],['US'],,,,,3.934,6.7
A Whisker Away,Anime/Fantasy,"June 18, 2020",104,6.7,Japanese,tm852097,MOVIE,"Miyo ""Muge"" Sasaki is a peculiar second-year junior high student who has fallen in love with her classmate Kento Hinode. Muge resolutely pursues Kento every day, but he takes no notice of her. Nevertheless, while carrying a secret she can tell no one, Muge continues to pursue Kento. Muge discovers a magic mask that allows her to transform into a cat named Tarō. The magic lets Muge get close to Kento, but eventually it may also make her unable to transform back to a human.",2020.0,,104.0,"['fantasy', 'drama', 'romance', 'animation', 'family']",['JP'],,tt11958344,6.7,9818.0,64.583,8.0
Ajeeb Daastaans,Drama,"April 16, 2021",142,6.7,Hindi,tm1025318,MOVIE,Four shorts explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,2021.0,,142.0,"['drama', 'romance']",['IN'],,tt14091818,6.7,5743.0,5.751,6.8
Arlo the Alligator Boy,Animated musical comedy,"April 16, 2021",92,6.7,English,tm1006127,MOVIE,"A young humanoid alligator travels to the big city in hopes of reuniting with his estranged father, meeting a colorful cast of characters along the way.",2021.0,,90.0,"['animation', 'comedy', 'family']",['US'],,tt13454122,6.4,1105.0,17.89,6.9
"Bikram: Yogi, Guru, Predator",Documentary,"November 20, 2019",86,6.7,English,tm824559,MOVIE,The spectacular rise and scandalous fall of hot-yoga evangelist Bikram Choudhury is chronicled through archival footage and extensive insider interviews.,2019.0,,86.0,"['crime', 'documentation']",['US'],,tt10883004,6.7,7525.0,8.238,6.4
Blame!,Anime/Science fiction,"May 20, 2017",106,6.7,Japanese,tm241990,MOVIE,"In the distant technological future, civilization has reached its ultimate Net-based form. An ""infection"" in the past caused the automated systems to spiral out of order, resulting in a multi-leveled city structure that replicates itself infinitely in all directions. Now humanity has lost access to the city's controls, and is hunted down and purged by the defense system known as the Safeguard. In a tiny corner of the city, a little enclave known as the Electro-Fishers is facing eventual extinction, trapped between the threat of the Safeguard and dwindling food supplies. A girl named Zuru goes on a journey to find food for her village, only to inadvertently cause doom when an observation tower senses her and summons a Safeguard pack to eliminate the threat. With her companions dead and all escape routes blocked, the only thing that can save her now is the sudden arrival of Killy the Wanderer, on his quest for the Net Terminal Genes, the key to restoring order to the world.",2017.0,PG-13,106.0,"['scifi', 'animation', 'action', 'drama', 'thriller']",['JP'],,tt6574146,6.6,8044.0,31.452,6.4
Blue Miracle,Drama,"May 27, 2021",95,6.7,English,tm1045741,MOVIE,"To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.",2021.0,,95.0,"['family', 'action', 'drama']","['MX', 'US']",,tt7084386,6.6,6778.0,17.953,7.6
CounterPunch ,Documentary,"June 16, 2017",91,6.7,English,,,,,,,,,,,,,,
"Crack: Cocaine, Corruption & Conspiracy",Documentary,"January 11, 2021",89,6.7,English,tm983466,MOVIE,"A cheap, powerful drug emerges during a recession, igniting a moral panic fueled by racism.  Explore the complex history of crack in the 1980s.",2021.0,,89.0,"['documentation', 'crime', 'history']",['US'],,tt13649700,6.7,3324.0,13.076,6.6
Extraction,Action,"April 24, 2020",117,6.7,English,tm496322,MOVIE,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",2020.0,R,116.0,"['crime', 'drama', 'action', 'thriller']",['US'],,tt8936646,6.7,196105.0,51.91,7.4
Giving Voice,Documentary,"December 11, 2020",90,6.7,English,tm845552,MOVIE,"Every year, thousands of high schoolers enter the August Wilson monologue competition for a chance to perform on Broadway. This film follows these students, examining how Wilson and his characters speak to a new generation, inspiring them to listen to his words and find their own voice.",2020.0,PG-13,90.0,['documentation'],['US'],,,,,2.685,6.3
Hillbilly Elegy,Drama,"November 24, 2020",117,6.7,English,tm849022,MOVIE,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",2020.0,R,117.0,['drama'],['US'],,tt6772802,6.7,41469.0,12.825,6.8
Hope Frozen: A Quest to Live Twice,Documentary,"September 15, 2020",80,6.7,Thia/English,,,,,,,,,,,,,,
Imperial Dreams,Drama,"February 3, 2017",87,6.7,English,tm140911,MOVIE,"A 21-year-old reformed gangster's devotion to his family and his future is put to the test when he is released from prison and returns to his old stomping grounds in Watts, Los Angeles.",2014.0,,87.0,['drama'],['US'],,tt3331028,6.7,4509.0,5.371,6.5
Just Another Christmas,Comedy,"December 3, 2020",101,6.7,Portuguese,tm946801,MOVIE,"After taking a very nasty fall on Christmas Eve, grinchy Jorge blacks out and wakes up one year later, with no memory of the year that has passed. He soon realizes that he’s doomed to keep waking up on Christmas Eve after Christmas Eve, having to deal with the aftermath of what his other self has done the other 364 days of the year.",2020.0,,101.0,"['comedy', 'drama']",['BR'],,tt13354204,6.7,4506.0,7.195,7.4
Little Miss Sumo,Documentary,"October 28, 2019",19,6.7,Japanese,tm463592,MOVIE,"In an ancient sport traditionally reserved for men, 20-year-old female sumo prodigy Hiyori attempts to revolutionize Japan’s national pastime.",2018.0,,18.0,['documentation'],"['JP', 'GB']",,,,,27.973,5.8
Malcolm & Marie,Romantic drama,"February 5, 2021",106,6.7,English,tm976166,MOVIE,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning.",2021.0,R,106.0,"['romance', 'drama']",['US'],,tt12676326,6.6,36395.0,22.675,7.1
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,"February 7, 2017",54,6.7,English,,,,,,,,,,,,,,
Moxie,Drama,"March 3, 2021",111,6.7,English,tm1018427,MOVIE,"Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",2021.0,PG-13,111.0,"['music', 'comedy', 'drama']",['US'],,tt7737700,6.7,24720.0,20.59,7.431
Night in Paradise,Drama,"April 9, 2021",132,6.7,Korean,tm810547,MOVIE,"An assassin named Tae-goo is offered a chance to switch sides with his rival Bukseong gang, headed by Chairman Doh. Tae-goo rejects the offer that results in the murder of his sister and niece. In revenge, Tae-goo brutally kills Chairman Doh and his men and flees to Jeju Island where he meets Jae-yeon, a terminally ill woman. Though, the henchman of the Bukseong gang, Executive Ma is mercilessly hunting Tae-goo to take revenge.",2020.0,,131.0,"['thriller', 'drama', 'action', 'crime']",['KR'],,tt12792418,6.7,6747.0,61.796,6.9
Paper Lives,Drama,"March 12, 2021",97,6.7,Turkish,tm990983,MOVIE,"In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood.",2021.0,,96.0,['drama'],['TR'],,tt13045890,6.6,12034.0,21.221,8.2
Parchis: The Documentary,Documentary,"July 10, 2019",106,6.7,Spanish,,,,,,,,,,,,,,
